Work Section Number,Work Section,Work Item Number,Work Item
1,Preliminaries,A.1,Project particulars
1,Preliminaries,A.2,Specifications and drawings
1,Preliminaries,A.3,The site and existing buildings
1,Preliminaries,A.4,Description of the works
1,Preliminaries,A.5,General constraints on executing the works
1,Preliminaries,A.6,Contract conditions
1,Preliminaries,A.7,"Employer’s requirements: provision, content and use of documents"
1,Preliminaries,A.8,Employer’s requirements: contractor-designed work
1,Preliminaries,A.9,Employer’s requirements: building information modelling (BIM)
1,Preliminaries,A.10,Employer’s requirements: completion
1,Preliminaries,A.11,Employer’s requirements: programme/progress
1,Preliminaries,A.12,Employer’s requirements: management of the works
1,Preliminaries,A.13,Employer’s requirements: working with the employer and others
1,Preliminaries,A.14,Employer’s requirements: quality management
1,Preliminaries,A.15,Employer’s requirements: tests and inspections
1,Preliminaries,A.16,Employer’s requirements: services and facilities
1,Preliminaries,A.17,Employer’s requirements: health and safety
1,Preliminaries,A.18,Employer’s requirements: subcontracting
1,Preliminaries,A.19,Employer’s requirements: title
1,Preliminaries,A.20,Employer’s requirements: records
1,Preliminaries,B.1,Employer’s requirements: site accommodation
1,Preliminaries,B.2,Employer’s requirements: site records
1,Preliminaries,B.3,Employer’s requirements: completion and post-completion requirements
1,Preliminaries,B.4,Contractor’s cost items: management and staff
1,Preliminaries,B.5,Contractor’s cost items: site establishment
1,Preliminaries,B.6,Contractor’s cost items: temporary services
1,Preliminaries,B.7,Contractor’s cost items: security (preliminaries (main contract) only)
1,Preliminaries,B.8,Contractor’s cost items: safety and environmental protection
1,Preliminaries,B.9,Contractor’s cost items: control and protection
1,Preliminaries,B.10,Contractor’s cost items: mechanical plant
1,Preliminaries,B.11,Contractor’s cost items: temporary works
1,Preliminaries,B.12,Contractor’s cost items: site records
1,Preliminaries,B.13,Contractor’s cost items: completion and post-completion requirements
1,Preliminaries,B.14,Contractor’s cost items: cleaning
1,Preliminaries,B.15,Contractor’s cost items: fees and charges
1,Preliminaries,B.16,Contractor’s cost items: site services (preliminaries (main contract) only)
1,Preliminaries,B.17,"Contractor’s cost items: insurance, bonds, guarantees and warranties"
2,"Off-site manufactured materials, components or buildings",1,Component
2,"Off-site manufactured materials, components or buildings",2,Prefabricated structures
3,Demolitions,1,Demolitions
3,Demolitions,2,"Temporary support of structures, roads, etc"
3,Demolitions,3,Temporary works
3,Demolitions,4,Decontamination
3,Demolitions,5,Recycling
4,"Alterations, repairs and conservation",1,Works of alteration
4,"Alterations, repairs and conservation",2,Removing
4,"Alterations, repairs and conservation",3,Cutting or forming openings
4,"Alterations, repairs and conservation",4,Cutting or forming recesses
4,"Alterations, repairs and conservation",8,Removing existing and replacing
4,"Alterations, repairs and conservation",9,Preparing existing structures for connection or attachment of new work
4,"Alterations, repairs and conservation",10,Repairing
4,"Alterations, repairs and conservation",11,Repointing joints
4,"Alterations, repairs and conservation",12,Repointing
4,"Alterations, repairs and conservation",13,Resin or cement impregnation/injection
4,"Alterations, repairs and conservation",14,Inserting new walls ties
4,"Alterations, repairs and conservation",15,"Re-dressing existing flashings, etc"
4,"Alterations, repairs and conservation",16,Damp-proof course renewal
4,"Alterations, repairs and conservation",17,Damp-proof course insertion
4,"Alterations, repairs and conservation",18,Cleaning surfaces
4,"Alterations, repairs and conservation",20,Artificial weathering
4,"Alterations, repairs and conservation",21,Renovating
4,"Alterations, repairs and conservation",22,Conserving
4,"Alterations, repairs and conservation",23,Decontamination
4,"Alterations, repairs and conservation",24,Temporary works
4,"Alterations, repairs and conservation",25,Recycling
5,Excavating and filling,1,Preliminary sitework
5,Excavating and filling,2,Removing trees
5,Excavating and filling,3,Removing tree stumps
