"Group Element",Element,"Package Code","Package Name","Scope Hints"
"Facilitating works","Toxic/hazardous/contaminated material treatment",0.1.1,"Toxic or hazardous material removal","Includes materials and labour for Toxic or hazardous material removal."
"Facilitating works","Toxic/hazardous/contaminated material treatment",0.1.2,"Contaminated land","Includes materials and labour for Contaminated land."
"Facilitating works","Toxic/hazardous/contaminated material treatment",0.1.3,"Eradication of plant growth","Includes materials and labour for Eradication of plant growth."
"Facilitating works","Major demolition works",0.2.1,"Demolition works","Includes materials and labour for Demolition works."
"Facilitating works","Major demolition works",0.2.2,"Soft strip works","Includes materials and labour for Soft strip works."
"Facilitating works","Temporary support for adjacent structures",0.3.1,"Temporary support for adjacent structures","Includes materials and labour for Temporary support for adjacent structures."
"Facilitating works","Specialist groundworks",0.4.1,"Site dewatering and pumping","Includes materials and labour for Site dewatering and pumping."
"Facilitating works","Specialist groundworks",0.4.2,"Soil stabilisation measures","Includes materials and labour for Soil stabilisation measures."
"Facilitating works","Specialist groundworks",0.4.3,"Ground gas venting measures","Includes materials and labour for Ground gas venting measures."
"Facilitating works","Temporary diversion works",0.5.1,"Temporary diversion works","Includes materials and labour for Temporary diversion works."
"Facilitating works","Extraordinary site investigation works",0.6.1,"Archaeological investigation","Includes materials and labour for Archaeological investigation."
"Facilitating works","Extraordinary site investigation works",0.6.2,"Reptile/wildlife harm mitigation measures","Includes materials and labour for Reptile/wildlife harm mitigation measures."
"Facilitating works","Extraordinary site investigation works",0.6.3,"Other extraordinary site investigation works","Includes materials and labour for Other extraordinary site investigation works."
Substructure,Substructure,1.1.1,"Standard foundations","Includes materials and labour for Standard foundations."
Substructure,Substructure,1.1.2,"Specialist foundations","Includes materials and labour for Specialist foundations."
Substructure,Substructure,1.1.3,"Lowest floor construction","Includes materials and labour for Lowest floor construction."
Substructure,Substructure,1.1.4,"Basement excavation","Includes materials and labour for Basement excavation."
Substructure,Substructure,1.1.5,"Basement retaining walls","Includes materials and labour for Basement retaining walls."
Superstructure,Frame,2.1.1,"Steel frames","Includes materials and labour for Steel frames."
Superstructure,Frame,2.1.2,"Space frames/decks","Includes materials and labour for Space frames/decks."
Superstructure,Frame,2.1.3,"Concrete casings for steel frames","Includes materials and labour for Concrete casings for steel frames."
Superstructure,Frame,2.1.4,"Concrete frames","Includes materials and labour for Concrete frames."
Superstructure,Frame,2.1.5,"Timber frames","Includes materials and labour for Timber frames."
Superstructure,Frame,2.1.6,"Specialist frames","Includes materials and labour for Specialist frames."
Superstructure,"Upper floors",2.2.1,Floors,"Includes materials and labour for Floors."
Superstructure,"Upper floors",2.2.2,Balconies,"Includes materials and labour for Balconies."
Superstructure,"Upper floors",2.2.3,"Drainage for balconies","Includes materials and labour for Drainage for balconies."
Superstructure,Roof,2.3.1,"Roof structure","Includes materials and labour for Roof structure."
Superstructure,Roof,2.3.2,"Roof coverings","Includes materials and labour for Roof coverings."
Superstructure,Roof,2.3.3,"Specialist roof systems","Includes materials and labour for Specialist roof systems."
Superstructure,Roof,2.3.4,"Roof drainage","Includes materials and labour for Roof drainage."
Superstructure,Roof,2.3.5,"Rooflights, skylights and openings","Includes materials and labour for Rooflights, skylights and openings."
Superstructure,Roof,2.3.6,"Roof features","Includes materials and labour for Roof features."
Superstructure,"Stairs and ramps",2.4.1,"Stair/ramp structures","Includes materials and labour for Stair/ramp structures."
Superstructure,"Stairs and ramps",2.4.2,"Stair/ramp finishes","Includes materials and labour for Stair/ramp finishes."
Superstructure,"Stairs and ramps",2.4.3,"Stair/ramp balustrades and handrails","Includes materials and labour for Stair/ramp balustrades and handrails."
Superstructure,"Stairs and ramps",2.4.4,Ladders/chutes/slides,"Includes materials and labour for Ladders/chutes/slides."
Superstructure,"External walls",2.5.1,"External enclosing walls above ground level","Includes materials and labour for External enclosing walls above ground level."
Superstructure,"External walls",2.5.2,"External enclosing walls below ground level","Includes materials and labour for External enclosing walls below ground level."
Superstructure,"External walls",2.5.3,"Solar/rain screening","Includes materials and labour for Solar/rain screening."
Superstructure,"External walls",2.5.4,"External soffits","Includes materials and labour for External soffits."
Superstructure,"External walls",2.5.5,"Subsidiary walls, balustrades and proprietary balconies","Includes materials and labour for Subsidiary walls, balustrades and proprietary balconies."
Superstructure,"External walls",2.5.6,"Facade access/cleaning systems","Includes materials and labour for Facade access/cleaning systems."
Superstructure,"Windows and external doors",2.6.1,"External windows","Includes materials and labour for External windows."
Superstructure,"Windows and external doors",2.6.2,"External doors","Includes materials and labour for External doors."
Superstructure,"Internal walls and partitions",2.7.1,"Walls and partitions","Includes materials and labour for Walls and partitions."
Superstructure,"Internal walls and partitions",2.7.2,"Balustrades and handrails","Includes materials and labour for Balustrades and handrails."
Superstructure,"Internal walls and partitions",2.7.3,"Movable room dividers","Includes materials and labour for Movable room dividers."
Superstructure,"Internal walls and partitions",2.7.4,Cubicles,"Includes materials and labour for Cubicles."
Superstructure,"Internal doors",2.8.1,"Internal doors","Includes materials and labour for Internal doors."
"Internal finishes","Wall finishes",3.1.1,"Wall finishes","Includes materials and labour for Wall finishes."
"Internal finishes","Floor finishes",3.2.1,"Finishes to floors","Includes materials and labour for Finishes to floors."
"Internal finishes","Floor finishes",3.2.2,"Raised access floors","Includes materials and labour for Raised access floors."
"Internal finishes","Ceiling finishes",3.3.1,"Finishes to ceilings","Includes materials and labour for Finishes to ceilings."
"Internal finishes","Ceiling finishes",3.3.2,"False ceilings","Includes materials and labour for False ceilings."
"Internal finishes","Ceiling finishes",3.3.3,"Demountable suspended ceilings","Includes materials and labour for Demountable suspended ceilings."
"Fittings, furnishings and equipment","Fittings, furnishings and equipment",4.1.1,"General fittings, furnishings and equipment","Includes materials and labour for General fittings, furnishings and equipment."
"Fittings, furnishings and equipment","Fittings, furnishings and equipment",4.1.2,"Domestic kitchen fittings and equipment","Includes materials and labour for Domestic kitchen fittings and equipment."
"Fittings, furnishings and equipment","Fittings, furnishings and equipment",4.1.3,"Special-purpose fittings, furnishings and equipment","Includes materials and labour for Special-purpose fittings, furnishings and equipment."
"Fittings, furnishings and equipment","Fittings, furnishings and equipment",4.1.4,Signs/notices,"Includes materials and labour for Signs/notices."
"Fittings, furnishings and equipment","Fittings, furnishings and equipment",4.1.5,"Works of art","Includes materials and labour for Works of art."
"Fittings, furnishings and equipment","Fittings, furnishings and equipment",4.1.6,"Non-mechanical and non-electrical equipment","Includes materials and labour for Non-mechanical and non-electrical equipment."
"Fittings, furnishings and equipment","Fittings, furnishings and equipment",4.1.7,"Internal planting","Includes materials and labour for Internal planting."
"Fittings, furnishings and equipment","Fittings, furnishings and equipment",4.1.8,"Bird and vermin control","Includes materials and labour for Bird and vermin control."
Services,"Sanitary installations",5.1.1,"Sanitary appliances","Includes materials and labour for Sanitary appliances."
Services,"Sanitary installations",5.1.2,"Sanitary ancillaries","Includes materials and labour for Sanitary ancillaries."
Services,"Services equipment",5.2.1,"Services equipment","Includes materials and labour for Services equipment."
Services,"Disposal installations",5.3.1,"Foul drainage above ground","Includes materials and labour for Foul drainage above ground."
Services,"Disposal installations",5.3.2,"Chemical, toxic and industrial liquid waste drainage","Includes materials and labour for Chemical, toxic and industrial liquid waste drainage."
Services,"Disposal installations",5.3.3,"Refuse disposal","Includes materials and labour for Refuse disposal."
Services,"Water installations",5.4.1,"Mains water supply","Includes materials and labour for Mains water supply."
Services,"Water installations",5.4.2,"Cold water distribution","Includes materials and labour for Cold water distribution."
Services,"Water installations",5.4.3,"Hot water distribution","Includes materials and labour for Hot water distribution."
Services,"Water installations",5.4.4,"Local hot water distribution","Includes materials and labour for Local hot water distribution."
Services,"Water installations",5.4.5,"Steam and condensate distribution","Includes materials and labour for Steam and condensate distribution."
Services,"Heat source",5.5.1,"Heat source","Includes materials and labour for Heat source."
Services,"Space heating and air conditioning systems",5.6.1,"Central heating systems","Includes materials and labour for Central heating systems."
Services,"Space heating and air conditioning systems",5.6.2,"Local heating systems","Includes materials and labour for Local heating systems."
Services,"Space heating and air conditioning systems",5.6.3,"Central cooling systems","Includes materials and labour for Central cooling systems."
Services,"Space heating and air conditioning systems",5.6.4,"Local cooling systems","Includes materials and labour for Local cooling systems."
Services,"Space heating and air conditioning systems",5.6.5,"Central heating and cooling systems","Includes materials and labour for Central heating and cooling systems."
Services,"Space heating and air conditioning systems",5.6.6,"Local heating and cooling systems","Includes materials and labour for Local heating and cooling systems."
Services,"Space heating and air conditioning systems",5.6.7,"Central air conditioning systems","Includes materials and labour for Central air conditioning systems."
Services,"Space heating and air conditioning systems",5.6.8,"Local air conditioning systems","Includes materials and labour for Local air conditioning systems."
Services,"Ventilation systems",5.7.1,"Central ventilation systems","Includes materials and labour for Central ventilation systems."
Services,"Ventilation systems",5.7.2,"Local and special ventilation systems","Includes materials and labour for Local and special ventilation systems."
Services,"Ventilation systems",5.7.3,"Smoke extraction/control systems","Includes materials and labour for Smoke extraction/control systems."
Services,"Electrical installations",5.8.1,"Electrical mains and sub-mains distribution","Includes materials and labour for Electrical mains and sub-mains distribution."
Services,"Electrical installations",5.8.2,"Power installations","Includes materials and labour for Power installations."
Services,"Electrical installations",5.8.3,"Lighting installations","Includes materials and labour for Lighting installations."
Services,"Electrical installations",5.8.4,"Specialist lighting installations","Includes materials and labour for Specialist lighting installations."
Services,"Electrical installations",5.8.5,"Local electricity generation systems","Includes materials and labour for Local electricity generation systems."
Services,"Electrical installations",5.8.6,"Earthing and bonding systems","Includes materials and labour for Earthing and bonding systems."
Services,"Fuel installations",5.9.1,"Fuel storage","Includes materials and labour for Fuel storage."
Services,"Fuel installations",5.9.2,"Fuel distribution systems","Includes materials and labour for Fuel distribution systems."
Services,"Lift and conveyor installations",5.10.1,"Lifts and enclosed hoists","Includes materials and labour for Lifts and enclosed hoists."
Services,"Lift and conveyor installations",5.10.2,Escalators,"Includes materials and labour for Escalators."
Services,"Lift and conveyor installations",5.10.3,"Moving pavements","Includes materials and labour for Moving pavements."
Services,"Lift and conveyor installations",5.10.4,"Powered stairlifts","Includes materials and labour for Powered stairlifts."
Services,"Lift and conveyor installations",5.10.5,Conveyors,"Includes materials and labour for Conveyors."
Services,"Lift and conveyor installations",5.10.6,"Dock levellers and scissor lifts","Includes materials and labour for Dock levellers and scissor lifts."
Services,"Lift and conveyor installations",5.10.7,"Cranes and unenclosed hoists","Includes materials and labour for Cranes and unenclosed hoists."
Services,"Lift and conveyor installations",5.10.8,"Car lifts, car stacking systems, turntables, etc","Includes materials and labour for Car lifts, car stacking systems, turntables, etc."
Services,"Lift and conveyor installations",5.10.9,"Document handling systems","Includes materials and labour for Document handling systems."
Services,"Lift and conveyor installations",5.10.10,"Other lift and conveyor installations","Includes materials and labour for Other lift and conveyor installations."
Services,"Fire and lightning protection",5.11.1,"Firefighting systems","Includes materials and labour for Firefighting systems."
Services,"Fire and lightning protection",5.11.2,"Fire suppression systems","Includes materials and labour for Fire suppression systems."
Services,"Fire and lightning protection",5.11.3,"Lightning protection","Includes materials and labour for Lightning protection."
Services,"Communication, security and control systems",5.12.1,"Communication systems","Includes materials and labour for Communication systems."
Services,"Communication, security and control systems",5.12.2,"Security systems","Includes materials and labour for Security systems."
Services,"Communication, security and control systems",5.12.3,"Central control/building management systems","Includes materials and labour for Central control/building management systems."
Services,"Specialist installations",5.13.1,"Specialist piped supply installations","Includes materials and labour for Specialist piped supply installations."
Services,"Specialist installations",5.13.2,"Specialist refrigeration systems","Includes materials and labour for Specialist refrigeration systems."
Services,"Specialist installations",5.13.3,"Specialist mechanical installations","Includes materials and labour for Specialist mechanical installations."
Services,"Specialist installations",5.13.4,"Specialist electrical/electronic installations","Includes materials and labour for Specialist electrical/electronic installations."
Services,"Specialist installations",5.13.5,"Water features","Includes materials and labour for Water features."
,,5.14.1,"Builder's work in connection with services","Context: Belongs to Group Element: 'Services' -> Element: 'Builder's work in connection with services'. Scope: Includes materials and labour for Builder's work in connection with services."
"Prefabricated buildings and building units","Prefabricated buildings and building units",6.1.1,"Complete buildings","Includes materials and labour for Complete buildings."
"Prefabricated buildings and building units","Prefabricated buildings and building units",6.1.2,"Building units","Includes materials and labour for Building units."
"Prefabricated buildings and building units","Prefabricated buildings and building units",6.1.3,Pods,"Includes materials and labour for Pods."
"Work to existing buildings","Minor demolition and alteration works",7.1.1,"Minor demolition and alteration works","Includes materials and labour for Minor demolition and alteration works."
"Work to existing buildings","Repairs to existing services",7.2.1,"Repairs to existing services","Includes materials and labour for Repairs to existing services."
"Work to existing buildings","Damp-proof courses/fungus and beetle eradication",7.3.1,"Damp-proof courses","Includes materials and labour for Damp-proof courses."
"Work to existing buildings","Damp-proof courses/fungus and beetle eradication",7.3.2,"Fungus/beetle eradication","Includes materials and labour for Fungus/beetle eradication."
"Work to existing buildings","Facade retention",7.4.1,"Facade retention","Includes materials and labour for Facade retention."
"Work to existing buildings","Cleaning existing surfaces",7.5.1,Cleaning,"Includes materials and labour for Cleaning."
"Work to existing buildings","Cleaning existing surfaces",7.5.2,"Protective coatings","Includes materials and labour for Protective coatings."
"Work to existing buildings","Renovation works",7.6.1,"Masonry repairs","Includes materials and labour for Masonry repairs."
"Work to existing buildings","Renovation works",7.6.2,"Concrete repairs","Includes materials and labour for Concrete repairs."
"Work to existing buildings","Renovation works",7.6.3,"Metal repairs","Includes materials and labour for Metal repairs."
"Work to existing buildings","Renovation works",7.6.4,"Timber repairs","Includes materials and labour for Timber repairs."
"Work to existing buildings","Renovation works",7.6.5,"Plastics repairs","Includes materials and labour for Plastics repairs."
"External works","Site preparation works",8.1.1,"Site clearance","Includes materials and labour for Site clearance."
"External works","Site preparation works",8.1.2,"Preparatory groundworks","Includes materials and labour for Preparatory groundworks."
"External works","Roads, paths, pavings and surfacings",8.2.1,"Roads, paths and pavings","Includes materials and labour for Roads, paths and pavings."
"External works","Roads, paths, pavings and surfacings",8.2.2,"Special surfacings and pavings","Includes materials and labour for Special surfacings and pavings."
"External works","Soft landscaping, planting and irrigation systems",8.3.1,"Seeding and turfing","Includes materials and labour for Seeding and turfing."
"External works","Soft landscaping, planting and irrigation systems",8.3.2,"External planting","Includes materials and labour for External planting."
"External works","Soft landscaping, planting and irrigation systems",8.3.3,"Irrigation systems","Includes materials and labour for Irrigation systems."
"External works","Fencing, railings and walls",8.4.1,"Fencing and railings","Includes materials and labour for Fencing and railings."
"External works","Fencing, railings and walls",8.4.2,"Walls and screens","Includes materials and labour for Walls and screens."
"External works","Fencing, railings and walls",8.4.3,"Retaining walls","Includes materials and labour for Retaining walls."
"External works","Fencing, railings and walls",8.4.4,"Barriers and guardrails","Includes materials and labour for Barriers and guardrails."
"External works","External fixtures",8.5.1,"Site/street furniture and equipment","Includes materials and labour for Site/street furniture and equipment."
"External works","External fixtures",8.5.2,"Ornamental features","Includes materials and labour for Ornamental features."
"External works","External drainage",8.6.1,"Surface water and foul water drainage","Includes materials and labour for Surface water and foul water drainage."
"External works","External drainage",8.6.2,"Ancillary drainage systems","Includes materials and labour for Ancillary drainage systems."
"External works","External drainage",8.6.3,"External chemical, toxic and industrial liquid waste drainage","Includes materials and labour for External chemical, toxic and industrial liquid waste drainage."
"External works","External drainage",8.6.4,"Land drainage","Includes materials and labour for Land drainage."
"External works","External services",8.7.1,"Water mains supply","Includes materials and labour for Water mains supply."
"External works","External services",8.7.2,"Electricity mains supply","Includes materials and labour for Electricity mains supply."
"External works","External services",8.7.3,"External transformation devices","Includes materials and labour for External transformation devices."
"External works","External services",8.7.4,"Electricity distribution to external plant and equipment","Includes materials and labour for Electricity distribution to external plant and equipment."
"External works","External services",8.7.5,"Gas mains supply","Includes materials and labour for Gas mains supply."
"External works","External services",8.7.6,"Telecommunication and other communication system connections","Includes materials and labour for Telecommunication and other communication system connections."
"External works","External services",8.7.7,"External fuel storage and piped distribution systems","Includes materials and labour for External fuel storage and piped distribution systems."
"External works","External services",8.7.8,"External security systems","Includes materials and labour for External security systems."
"External works","External services",8.7.9,"External street lighting systems","Includes materials and labour for External street lighting systems."
"External works","External services",8.7.10,"Local/district heating installations","Includes materials and labour for Local/district heating installations."
"External works","External services",8.7.11,"Builder's work in connection with external services","Includes materials and labour for Builder's work in connection with external services."
"External works","Minor building works and ancillary buildings",8.8.1,"Minor building works","Includes materials and labour for Minor building works."
"External works","Minor building works and ancillary buildings",8.8.2,"Ancillary buildings and structures","Includes materials and labour for Ancillary buildings and structures."
"External works","Minor building works and ancillary buildings",8.8.3,"Underpinning for external site boundary walls","Includes materials and labour for Underpinning for external site boundary walls."
,,9.1.1,"Site accommodation","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Employer's requirements'. Scope: Includes materials and labour for Site accommodation."
,,9.1.2,"Site records","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Employer's requirements'. Scope: Includes materials and labour for Site records."
,,9.1.3,"Completion and post-completion requirements","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Employer's requirements'. Scope: Includes materials and labour for Completion and post-completion requirements."
,,9.2.1,"Management and staff","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Management and staff."
,,9.2.2,"Site establishment","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Site establishment."
,,9.2.3,"Temporary services","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Temporary services."
,,9.2.4,Security,"Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Security."
,,9.2.5,"Safety and environmental protection","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Safety and environmental protection."
,,9.2.6,"Control and protection","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Control and protection."
,,9.2.7,"Mechanical plant","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Mechanical plant."
,,9.2.8,"Temporary works","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Temporary works."
,,9.2.9,"Site records","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Site records."
,,9.2.10,"Completion and post-completion requirements","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Completion and post-completion requirements."
,,9.2.11,Cleaning,"Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Cleaning."
,,9.2.12,"Fees and charges","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Fees and charges."
,,9.2.13,"Site services","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Site services."
,,9.2.14,"Insurance, bonds, guarantees and warranties","Context: Belongs to Group Element: 'Main contractor's preliminaries' -> Element: 'Main contractor's cost items'. Scope: Includes materials and labour for Insurance, bonds, guarantees and warranties."
,,11.1.1,"Project team and design team consultants' fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Consultants' fees'. Scope: Includes materials and labour for Project team and design team consultants' fees."
,,11.1.2,"Other consultants' fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Consultants' fees'. Scope: Includes materials and labour for Other consultants' fees."
,,11.1.3,"Site investigation fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Consultants' fees'. Scope: Includes materials and labour for Site investigation fees."
,,11.1.4,"Specialist support consultants' fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Consultants' fees'. Scope: Includes materials and labour for Specialist support consultants' fees."
,,11.2.1,"Management and staff fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's pre-construction fees'. Scope: Includes materials and labour for Management and staff fees."
,,11.2.2,"Specialist support service fees","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's pre-construction fees'. Scope: Includes materials and labour for Specialist support service fees."
,,11.2.3,"Temporary accommodation, services and facilities charges","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's pre-construction fees'. Scope: Includes materials and labour for Temporary accommodation, services and facilities charges."
,,11.2.4,"Main contractor's overheads and profit","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's pre-construction fees'. Scope: Includes materials and labour for Main contractor's overheads and profit."
,,11.3.1,"Fees for main contractor's design consultants","Context: Belongs to Group Element: 'Project and design team fees' -> Element: 'Main contractor's design fees'. Scope: Includes materials and labour for Fees for main contractor's design consultants."
"Other project costs","Other project costs",12.1.1,"Land acquisition costs","Includes materials and labour for Land acquisition costs."
"Other project costs","Other project costs",12.1.2,"Employer finance","Includes materials and labour for Employer finance."
"Other project costs","Other project costs",12.1.3,Fees,"Includes materials and labour for Fees."
"Other project costs","Other project costs",12.1.4,Charges,"Includes materials and labour for Charges."
"Other project costs","Other project costs",12.1.5,"Planning contributions","Includes materials and labour for Planning contributions."
"Other project costs","Other project costs",12.1.6,Insurances,"Includes materials and labour for Insurances."
